,GoodCustomer,Gender,ForeignWorker,Single,Age,LoanDuration,PurposeOfLoan,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,CheckingAccountBalance_geq_0,CheckingAccountBalance_geq_200,SavingsAccountBalance_geq_100,SavingsAccountBalance_geq_500,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,YearsAtCurrentJob_lt_1,YearsAtCurrentJob_geq_4,JobClassIsSkilled
11,0,Male,0,1,47,22,Furniture,3145,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
12,1,Female,0,0,25,9,Electronics,687,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
13,1,Male,0,0,34,4,NewCar,2302,4,3,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
14,0,Female,0,1,37,22,Business,7622,3,3,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
15,0,Male,0,1,31,24,Retraining,262,2,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
16,0,Male,0,0,28,23,UsedCar,4737,3,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
17,0,Male,0,0,19,4,Electronics,250,4,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1
18,0,Male,0,0,36,38,Retraining,9273,4,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
19,1,Male,0,1,31,15,Electronics,250,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
20,-1,Male,0,1,20,10,Electronics,250,4,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
21,0,Male,0,1,34,23,Furniture,3479,4,2,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
22,1,Female,0,0,28,28,UsedCar,4675,2,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
23,-1,Male,0,1,41,11,Retraining,4723,2,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
24,1,Male,0,1,36,8,Electronics,2258,3,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25,0,Female,0,0,33,40,Repairs,6993,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
26,1,Male,0,0,25,4,NewCar,250,4,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
27,1,Male,0,1,47,33,NewCar,2816,4,4,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
28,1,Male,0,1,21,46,Business,5937,4,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
29,-1,Male,0,1,25,34,Furniture,7207,4,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
30,1,Male,0,1,40,31,Furniture,2511,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
31,1,Male,0,0,47,9,Electronics,777,4,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
32,1,Male,0,1,34,4,NewCar,250,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
33,-1,Male,0,1,42,15,NewCar,2660,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
34,0,Male,0,1,35,22,Furniture,4039,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
35,-1,Male,0,0,24,6,NewCar,1577,2,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36,0,Female,0,1,23,46,NewCar,7560,2,4,4,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
37,0,Female,0,0,33,4,Electronics,250,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
38,0,Male,0,0,27,32,Furniture,5496,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
39,-1,Male,0,1,34,13,NewCar,4329,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
40,1,Female,0,0,47,32,NewCar,3846,4,3,4,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
41,-1,Female,0,0,37,4,Electronics,250,2,2,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
42,-1,Male,0,1,33,25,Electronics,5651,1,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
43,1,Male,0,1,42,17,NewCar,7260,3,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
44,1,Male,0,1,38,17,NewCar,2712,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
45,1,Male,0,1,19,22,NewCar,4183,4,4,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
46,1,Female,0,0,19,25,NewCar,2310,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
47,-1,Female,0,1,45,8,Electronics,250,4,4,4,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
48,1,Male,0,1,69,36,UsedCar,8248,3,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
49,1,Male,0,1,23,4,NewCar,250,3,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
50,0,Male,0,1,36,28,Furniture,2278,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
51,1,Male,0,1,44,15,NewCar,6546,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
52,1,Male,0,0,29,17,Business,4708,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
53,0,Female,0,0,22,40,Furniture,6294,4,3,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
54,0,Male,0,1,20,14,Electronics,4013,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
55,0,Male,0,1,28,12,Education,250,4,4,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
56,0,Female,0,0,33,4,Electronics,360,4,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
57,0,Male,0,0,40,29,NewCar,5216,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
58,-1,Female,0,0,28,16,Furniture,1548,4,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
59,1,Male,0,1,52,8,Electronics,4443,4,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
60,0,Female,0,0,55,20,NewCar,5190,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
61,-1,Male,0,1,19,29,NewCar,6415,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
62,0,Male,0,1,22,24,Electronics,5414,4,4,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
63,-1,Male,0,1,38,5,NewCar,2544,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
64,0,Male,0,1,23,27,Furniture,4884,4,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
65,-1,Male,0,1,31,30,Electronics,3246,2,3,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
66,0,Male,0,0,22,28,Furniture,5657,4,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
67,1,Male,0,1,48,31,Furniture,9123,2,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
68,0,Male,0,0,32,20,UsedCar,2225,2,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
69,1,Male,0,1,52,41,NewCar,6884,3,4,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
70,1,Male,0,0,28,4,NewCar,250,3,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
71,0,Male,0,1,47,4,Retraining,3678,1,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
72,0,Male,0,1,42,6,Furniture,3021,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
73,1,Male,0,0,19,15,Business,1111,2,4,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
74,1,Male,0,1,36,14,NewCar,1747,2,4,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1
75,-1,Male,0,0,41,32,Retraining,5044,3,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
76,0,Male,0,0,20,23,NewCar,1950,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
77,0,Male,0,1,35,19,NewCar,1622,4,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
78,0,Male,0,1,24,34,Furniture,5582,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
79,-1,Male,0,0,38,4,NewCar,1724,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
80,1,Male,0,1,19,4,NewCar,862,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
81,1,Male,0,1,52,20,Business,2401,4,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
82,-1,Male,0,0,22,41,Electronics,6454,2,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
83,-1,Male,0,0,39,28,NewCar,4198,2,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
84,1,Male,0,1,56,4,NewCar,1997,4,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
85,1,Male,0,0,44,4,NewCar,4003,3,3,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
86,0,Male,0,0,32,34,NewCar,1329,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
87,0,Male,0,1,23,25,Furniture,6680,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
88,0,Female,0,0,37,4,NewCar,250,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
89,-1,Male,0,1,46,23,NewCar,3134,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
90,0,Male,0,1,51,15,NewCar,2393,4,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
91,0,Female,0,0,29,15,Furniture,2106,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
92,1,Male,0,1,28,25,Furniture,4008,4,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
93,1,Male,0,1,50,30,NewCar,444,4,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
94,0,Male,0,1,46,35,Education,7272,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
95,0,Male,0,0,26,35,NewCar,2164,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
96,1,Female,0,0,38,23,Furniture,3524,3,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
97,1,Male,0,1,54,24,UsedCar,250,4,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
98,1,Male,0,0,37,34,Furniture,8703,3,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
99,1,Male,0,1,57,15,Electronics,2718,2,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
100,0,Male,0,0,30,16,NewCar,2447,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
101,0,Male,0,1,59,25,Business,5211,2,4,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
102,1,Male,0,1,42,32,Retraining,3723,1,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
103,1,Male,0,1,19,15,NewCar,3238,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
104,0,Male,0,0,19,44,Electronics,5649,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
105,1,Male,0,1,41,27,NewCar,10336,1,4,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
106,1,Male,0,1,36,22,NewCar,250,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
107,0,Male,0,1,43,23,NewCar,5147,2,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
108,-1,Male,0,1,37,29,Repairs,5129,2,4,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,0,Male,0,1,47,35,Electronics,3816,2,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
110,0,Male,0,1,41,19,Furniture,9168,2,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
111,0,Male,0,1,26,31,Electronics,9800,1,2,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
112,0,Male,0,1,39,32,Furniture,5544,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
113,1,Male,0,1,41,33,NewCar,7407,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
114,1,Female,0,0,29,7,Education,2422,2,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
115,0,Male,0,0,19,27,Furniture,9025,4,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
116,1,Male,0,1,38,21,NewCar,5388,3,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
117,-1,Male,0,1,63,27,Electronics,8146,4,2,4,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
118,-1,Male,0,0,36,40,Electronics,5624,4,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
119,0,Male,0,1,19,46,Electronics,5248,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
120,1,Male,0,1,38,23,Business,5754,2,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
121,0,Male,0,0,35,24,Furniture,3020,4,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
122,-1,Female,0,0,46,4,Electronics,250,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
123,0,Male,0,1,44,6,Electronics,669,4,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
124,0,Male,0,1,24,20,Furniture,5389,4,4,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
125,0,Male,0,1,55,21,Furniture,4166,1,4,4,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
126,1,Male,0,0,30,4,Business,250,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
127,1,Male,0,0,52,25,NewCar,250,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
128,1,Female,0,0,37,9,Electronics,383,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
129,0,Male,0,0,38,43,UsedCar,5079,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
130,0,Male,0,1,31,17,UsedCar,250,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1
131,1,Male,0,0,26,38,Electronics,7044,4,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
132,0,Male,0,1,29,12,Retraining,8671,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
133,-1,Male,0,1,42,19,NewCar,4869,2,4,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
134,0,Male,0,1,46,8,Retraining,1739,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
135,0,Female,0,0,33,53,NewCar,8932,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
136,-1,Male,0,0,34,35,HomeAppliances,5799,3,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
137,0,Male,0,1,57,16,Furniture,6695,3,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
138,-1,Male,0,0,32,10,Electronics,250,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
139,1,Male,0,0,33,31,Electronics,3939,4,3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1
140,1,Male,0,1,22,25,NewCar,2518,4,3,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
141,-1,Female,0,1,54,28,NewCar,3166,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
142,0,Male,0,1,41,28,NewCar,2198,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
143,-1,Male,0,1,50,30,Electronics,3572,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
144,1,Male,0,1,46,25,HomeAppliances,4442,4,4,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
145,0,Male,0,1,52,19,Furniture,548,4,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
146,0,Male,0,1,44,15,Furniture,1216,2,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
147,0,Male,0,1,43,35,Furniture,3994,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
148,1,Male,0,1,35,39,Furniture,6622,4,3,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
149,0,Male,0,1,34,31,NewCar,7379,1,4,4,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
150,1,Male,0,1,41,35,Retraining,5243,4,2,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
151,1,Male,0,1,40,27,Furniture,2485,4,4,1,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
152,1,Female,0,0,19,19,Furniture,5448,2,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
153,0,Male,0,1,44,18,Electronics,1804,4,4,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1
154,1,Male,0,1,53,33,NewCar,2660,4,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
155,1,Female,0,0,52,21,NewCar,2839,4,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
156,1,Male,0,1,36,20,NewCar,5096,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
157,1,Male,0,1,35,28,UsedCar,4627,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
158,-1,Male,0,0,30,12,Furniture,4506,3,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
159,-1,Male,0,0,20,14,NewCar,3170,2,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
160,0,Female,0,0,19,24,NewCar,4619,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
161,0,Male,0,0,48,16,Electronics,3516,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
162,0,Male,0,1,43,39,Business,4442,2,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
163,1,Male,0,1,41,4,Furniture,250,4,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
164,0,Female,0,1,48,20,UsedCar,2592,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
165,0,Male,0,0,35,5,Business,2329,1,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
166,1,Female,0,0,26,4,Furniture,2310,2,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
167,0,Male,0,1,24,23,Electronics,1960,3,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
168,1,Male,0,1,33,11,Furniture,250,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
169,0,Male,0,0,44,11,NewCar,388,3,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
170,-1,Male,0,1,40,15,UsedCar,7611,3,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
171,1,Female,0,0,45,9,Furniture,5522,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
172,0,Male,0,1,29,23,Electronics,4872,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
173,1,Female,0,0,25,8,Electronics,1117,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
174,1,Male,0,1,54,17,NewCar,3238,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
175,0,Male,0,1,34,5,UsedCar,250,3,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
176,0,Male,0,1,36,23,NewCar,2903,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
177,-1,Male,0,1,36,12,Electronics,3358,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
178,0,Female,0,1,34,4,NewCar,250,4,2,1,2,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
179,0,Male,0,1,41,16,NewCar,6638,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
180,1,Male,0,1,43,4,Electronics,553,4,3,2,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
181,0,Male,0,0,45,29,Furniture,2864,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
182,1,Male,0,1,24,16,Furniture,1020,2,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
183,-1,Female,0,0,21,43,NewCar,4447,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
184,1,Female,0,0,19,31,NewCar,5398,3,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
185,1,Male,0,0,40,29,NewCar,7291,3,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
186,0,Male,0,1,29,32,NewCar,946,4,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
187,0,Female,0,0,27,5,Furniture,1734,4,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
188,1,Male,0,1,34,33,Electronics,4777,3,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
189,1,Male,0,1,19,14,Furniture,1783,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
190,1,Male,0,1,44,20,NewCar,2140,4,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
191,0,Male,0,0,42,11,NewCar,3139,4,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
192,1,Male,0,0,36,51,UsedCar,3398,2,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
193,1,Male,0,1,23,53,Electronics,6284,4,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
194,0,Male,0,1,35,27,Business,4078,2,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
195,0,Male,0,1,44,11,Electronics,250,4,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
196,0,Male,0,1,34,8,Furniture,1250,2,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
197,1,Male,0,0,34,36,Furniture,4141,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
198,0,Male,0,1,29,15,NewCar,4081,3,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
