GoodCustomer,Gender,ForeignWorker,Single,Age,LoanDuration,PurposeOfLoan,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,CheckingAccountBalance_geq_0,CheckingAccountBalance_geq_200,SavingsAccountBalance_geq_100,SavingsAccountBalance_geq_500,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,YearsAtCurrentJob_lt_1,YearsAtCurrentJob_geq_4,JobClassIsSkilled
-1,Male,0,1,32,54,Electronics,727,4,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
1,Male,0,0,51,6,Furniture,4110,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1,Male,1,1,25,42,Retraining,8386,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
-1,Male,0,1,32,12,Furniture,1934,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
-1,Male,1,1,32,18,NewCar,4611,1,4,2,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1
-1,Male,0,1,47,18,Electronics,2570,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1
1,Female,0,0,28,54,NewCar,4795,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,Male,0,0,40,22,Education,1922,3,4,2,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
1,Male,0,1,31,24,Electronics,7629,4,4,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,74,21,Furniture,1842,3,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Female,1,0,21,21,HomeAppliances,1484,4,4,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,Female,0,1,55,5,Furniture,795,4,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
-1,Male,0,1,22,16,Business,1670,4,2,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,28,11,Furniture,1934,4,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1
1,Female,0,1,53,21,Retraining,6078,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,Male,0,1,34,48,Furniture,884,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
1,Female,0,0,58,33,Education,1154,4,4,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
1,Male,0,1,62,30,Business,2299,3,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
-1,Male,0,1,23,27,UsedCar,5965,4,4,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
1,Male,0,0,41,24,UsedCar,4933,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
1,Male,0,1,22,27,Retraining,5804,4,2,4,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1,Male,0,0,54,27,Electronics,8065,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Male,1,1,24,12,Business,601,1,2,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1
1,Male,0,0,38,16,Retraining,5302,2,4,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,Male,0,0,46,10,Electronics,3414,4,3,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,Male,0,1,29,18,NewCar,2278,3,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,58,54,UsedCar,1961,2,2,2,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1,Male,0,0,53,48,NewCar,5179,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
-1,Male,0,1,34,36,Repairs,2439,4,4,3,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
1,Male,0,1,66,16,Other,3235,2,4,3,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1
1,Male,0,0,70,45,Furniture,6458,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1
1,Male,0,1,48,12,Electronics,884,4,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,Male,1,0,24,72,NewCar,2515,4,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
-1,Female,0,1,19,15,Retraining,3552,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,1,1,20,39,UsedCar,2930,2,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1,Male,1,1,25,18,Business,8335,1,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
1,Male,1,1,29,5,Furniture,960,2,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,0,43,6,Business,4281,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,Male,0,0,61,8,NewCar,7629,3,2,3,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
1,Female,0,1,27,21,Retraining,1239,4,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
-1,Male,0,1,66,15,Business,14421,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1,Male,0,0,33,13,HomeAppliances,6872,1,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
-1,Male,1,0,58,9,NewCar,902,1,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,Male,0,0,56,10,Business,1835,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,51,48,Business,2315,3,4,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
1,Male,0,1,54,27,UsedCar,2745,4,1,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
1,Male,1,0,56,36,UsedCar,3016,4,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
1,Female,0,1,26,72,Other,8613,4,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
-1,Male,0,0,23,14,Education,1282,1,2,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,Male,0,0,23,18,Electronics,6260,2,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,Male,0,1,23,40,NewCar,5293,2,4,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,53,15,NewCar,2569,4,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1,Female,0,1,39,9,UsedCar,2820,3,1,3,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Female,0,0,20,21,Business,1287,4,3,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
1,Male,1,1,52,9,UsedCar,14782,4,4,4,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,Female,0,1,44,18,NewCar,2171,4,1,2,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1
1,Male,0,0,28,9,Furniture,12749,2,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,Male,0,1,53,15,Business,2820,1,1,1,2,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,Male,0,1,48,10,NewCar,3378,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,Male,0,1,38,60,Electronics,4110,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,Male,0,1,28,36,Education,4139,4,1,3,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1
1,Female,0,1,21,24,Other,1108,4,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,Male,0,1,47,5,NewCar,3108,4,2,1,2,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1,Female,0,1,52,15,NewCar,2743,4,3,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
1,Male,1,0,43,39,Business,1190,4,4,4,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
1,Male,0,0,60,7,NewCar,2210,4,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
1,Male,1,1,23,22,Furniture,3029,1,1,3,2,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Female,1,1,47,18,Electronics,1715,2,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1,Male,0,1,28,11,NewCar,884,4,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,0,62,30,Furniture,1534,1,2,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
-1,Male,0,0,36,9,UsedCar,5866,4,4,2,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1
-1,Female,0,0,44,45,Furniture,1199,4,4,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1
-1,Male,1,1,59,5,Electronics,3029,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,Female,0,1,23,36,Electronics,1532,3,4,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1
-1,Male,0,1,45,4,Electronics,1935,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
1,Male,0,1,38,39,HomeAppliances,6842,4,1,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0
1,Male,0,1,34,30,NewCar,660,1,2,4,2,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1,Male,0,1,47,24,Retraining,2116,2,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1
-1,Male,0,1,26,13,Repairs,1957,4,4,2,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
1,Male,0,0,30,9,Business,1743,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
1,Female,0,1,46,48,Business,2390,4,4,2,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0
1,Male,0,1,23,10,Furniture,2292,4,2,4,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
1,Male,0,0,22,6,HomeAppliances,1217,4,2,4,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
1,Male,0,0,53,18,Electronics,6078,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
-1,Male,0,0,41,18,Education,1193,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
1,Male,1,1,40,15,Business,1603,4,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
1,Male,0,1,61,40,UsedCar,338,4,3,2,2,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1
-1,Male,0,0,22,30,Business,1928,3,3,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1
-1,Male,0,1,56,6,UsedCar,1050,4,2,4,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,0,25,24,Furniture,1418,3,4,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1
-1,Male,0,0,32,45,Business,1199,1,1,2,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1
1,Male,1,0,41,10,Furniture,2241,3,4,2,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1
1,Male,0,0,22,9,Repairs,2346,4,3,2,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1
-1,Female,0,0,22,6,Business,618,1,2,4,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1
1,Male,0,0,57,33,Retraining,14896,2,2,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1
-1,Male,0,0,59,9,Electronics,745,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,Male,0,0,67,15,NewCar,6742,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
-1,Female,0,0,49,28,NewCar,2528,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1,Female,0,1,27,10,UsedCar,1514,1,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1
1,Female,1,1,55,20,Electronics,682,2,4,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1
1,Male,0,1,46,18,UsedCar,2292,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,Male,0,0,75,9,NewCar,2303,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1
1,Female,0,0,47,60,UsedCar,14421,4,2,2,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Female,0,1,75,6,NewCar,368,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,Male,1,1,35,28,Education,639,2,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,Female,1,1,62,42,NewCar,3652,1,2,4,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
-1,Male,0,1,39,16,Electronics,1715,2,4,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
-1,Male,0,1,50,26,Business,4463,3,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,Female,0,0,50,18,NewCar,4380,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,Male,0,1,41,27,Business,1534,3,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,26,12,NewCar,3349,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1,Male,0,1,38,12,Education,2012,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-1,Male,0,0,43,8,NewCar,2136,3,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
-1,Male,0,0,55,12,Retraining,2278,4,2,2,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
1,Female,0,0,70,40,NewCar,3758,4,2,4,2,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1,Male,0,1,31,42,UsedCar,1163,3,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1
-1,Male,1,1,46,14,NewCar,1433,4,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1
1,Male,0,0,33,13,Electronics,1778,4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,0,20,13,UsedCar,1231,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,60,15,Electronics,1108,3,4,4,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
-1,Male,0,1,31,26,Furniture,3612,4,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
-1,Male,0,0,39,10,UsedCar,766,4,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,Male,0,1,28,48,Electronics,2439,2,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
1,Male,0,0,47,24,Electronics,3711,4,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1,Male,0,1,53,27,Electronics,14027,3,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0
1,Female,0,0,44,18,NewCar,806,3,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Female,0,1,41,20,Electronics,1514,2,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1,Male,0,0,65,6,NewCar,3001,2,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
1,Male,0,0,47,24,UsedCar,3160,4,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1,Male,0,0,43,48,Electronics,2133,1,4,1,2,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
-1,Male,1,1,24,13,NewCar,2302,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,22,12,Furniture,1381,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1
1,Male,1,1,28,36,Electronics,763,3,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1
1,Male,0,0,45,18,Furniture,1291,4,3,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,Male,0,0,29,11,UsedCar,1388,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
1,Male,0,1,41,42,Electronics,1537,1,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,0,47,13,UsedCar,947,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,Male,0,1,50,6,Business,2767,2,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
-1,Male,0,0,26,4,UsedCar,1922,1,4,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
-1,Female,0,1,42,72,Retraining,10623,4,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1,Male,0,0,20,14,Furniture,674,2,2,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
-1,Male,0,1,41,21,Furniture,1244,3,4,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,Male,0,0,74,9,NewCar,3758,4,3,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,Male,0,0,62,24,Retraining,1098,3,4,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
-1,Female,0,1,29,12,NewCar,4113,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,0,34,21,NewCar,3342,4,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,0,49,24,UsedCar,1568,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
-1,Male,0,0,60,27,Furniture,4675,1,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1,Male,0,1,74,12,Retraining,1530,4,4,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
-1,Male,0,0,26,30,Business,3108,1,4,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
1,Female,0,1,28,54,NewCar,674,1,3,4,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
-1,Male,1,1,44,42,Business,1285,4,4,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1,Male,0,0,52,7,NewCar,3577,4,4,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1,Male,0,0,51,42,UsedCar,3590,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
-1,Male,0,0,65,42,HomeAppliances,1647,4,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
1,Male,0,0,54,39,Furniture,7980,2,2,2,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1
1,Male,0,1,53,42,Business,6224,4,2,4,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1
1,Female,0,0,22,7,NewCar,1207,1,3,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,Male,0,1,38,6,Other,1533,4,4,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1
1,Male,0,1,33,30,Electronics,2146,2,4,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Female,0,0,62,27,Electronics,1285,4,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,Male,1,0,37,13,HomeAppliances,3148,4,4,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1,Male,0,1,23,33,Retraining,5117,3,4,1,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1
1,Male,0,1,53,9,Business,1068,4,4,1,2,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1
1,Male,0,1,55,13,Furniture,4526,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1
1,Male,1,1,70,16,UsedCar,866,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
-1,Male,1,1,39,22,Business,7485,1,4,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
1,Male,0,0,45,48,Electronics,7432,4,4,4,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1
-1,Male,0,1,49,21,Furniture,3149,4,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
1,Male,0,1,65,39,Retraining,1239,3,4,3,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1
-1,Male,0,1,29,6,Furniture,753,3,2,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1
1,Male,0,0,70,72,NewCar,1346,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,Male,0,1,58,18,Furniture,1858,2,4,2,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
1,Male,0,1,38,28,Furniture,2116,2,4,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1
1,Male,0,1,64,15,Furniture,639,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-1,Female,0,0,38,36,Electronics,1546,3,4,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,Male,0,1,37,33,Other,12749,4,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1,Male,0,1,67,28,Retraining,1285,4,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
-1,Female,1,1,44,36,UsedCar,5129,4,4,3,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
-1,Male,0,1,47,48,Furniture,958,3,4,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1
-1,Male,0,0,23,8,UsedCar,1313,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
1,Male,0,0,58,36,Furniture,763,4,4,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
1,Male,0,1,59,60,Business,1837,4,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1
1,Male,0,0,47,24,Other,1549,4,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
1,Female,0,1,37,47,Retraining,5003,2,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1
1,Female,0,1,26,22,Furniture,3949,4,2,3,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
1,Male,0,1,43,54,Furniture,484,1,4,2,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0
1,Female,0,1,27,48,NewCar,4657,2,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1
1,Male,0,0,75,6,Furniture,2924,1,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
1,Male,1,1,35,18,NewCar,3757,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,Female,0,0,22,47,Furniture,709,4,4,3,2,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1
-1,Male,0,0,40,36,Education,639,4,2,1,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
